Rank,Lemma,POS,Definition,
1383,usual,adjective,"the way things occur most of time, in most cases",通常
1384,carefully,adverb,"giving a lot of attention to what you are doing so that you do not have an accident, make a mistake, or damage something",慎重に
1385,pack,verb,"to put (something) into a bag, suitcase, etc., so that you can take it with you",詰める
1386,recall,verb,to remember something,思い出す
1387,wine,noun,an alcoholic drink made from the juice of grapes,ワイン
1388,camera,noun,"a device that is used for taking photographs or for making movies, television programs, etc.",カメラ
1389,swim,verb,to move through water by moving your arms and legs ,泳ぐ
1390,manufacture,verb,to make (something) usually in large amounts by using machines ,製造する
1391,theater,noun,"a building where plays, shows, etc., are performed on a stage ",劇場
1392,cycle,noun,a series of regular and repeated actions,循環
1393,coffee,noun,a dark brown drink made from ground coffee beans and boiled water,コーヒー
1394,totally,adverb,completely,完全に
1395,museum,noun,"a building where you can look at important objects connected with art, history, or science",美術館
1396,visitor,noun,someone who visits a person or place ,訪問者
1397,freedom,noun,the state of being free: such as a : the power to do what you want to do : the ability to move or act freely ,自由
1398,construction,noun,"the work of building houses, offices, bridges, etc.",建設
1399,dear,adjective, loved or valued very much ,親愛なる
1400,objective,noun,based on facts not influenced by feelings or opinions,客観的
1401,moreover,adverb,in addition to what has been said ,そのうえに
1402,onto,preposition,"to a position that is on (something, such as a surface, area, or object) ",～の上に
1403,historical,adjective,"relating to events or people in the past, or the study of history",歴史的な
1404,oppose,verb,to disagree with or disapprove of (something or someone) ,反対する
1405,branch,noun,a part of a tree that grows out from the trunk ,枝
1406,vehicle,noun,a machine (such as a car) that is used to carry things ,乗り物
1407,scientist,noun,a person who is trained in a science and whose job involves doing scientific research or solving scientific problems,科学者
1408,route,noun,a way to get from one place to another place,道
1409,bind,verb,"to tie or wrap (something) with rope, string, etc. ",縛る
1410,belong,verb,used to say that someone or something should be in a particular place or situation,所属する
1411,taste,noun,"the sweet, sour, bitter, or salty quality of a thing that you can sense when it is in your mouth ",味
1412,tonight,noun,this night or the night following this day ,今夜
1413,fashion,noun,a popular way of dressing during a particular time or among a particular group of people ,流行
1414,danger,noun,the possibility that you will be hurt or killed ,危険
1415,bomb,noun,a weapon that explodes and causes damage,爆弾
1416,army,noun,a large group of soldiers organized to fight battles on land ,陸軍
1417,dangerous,adjective,"If someone or something is dangerous, they could harm you; not safe",危険
1418,decrease,verb," to become smaller in size, amount, number, etc. ",減少
1419,hurt,verb,"to cause pain or injury to (yourself, someone else, or a part of your body) ",傷つける
1420,council,noun,"a group of people who are chosen to make rules, laws, or decisions about something ",評議会
1421,editor,noun,"someone whose job is to prepare text, film, etc. by deciding what to include and making mistakes correct",編集者
1422,normally,adverb,usually,通常
1423,sight,noun,the ability to see ,視力
1424,generate,verb,"to produce, create or be produced",生成する
1425,gift,noun,something that is given to another person or to a group or organization ,贈り物
1426,delivery,noun,the act of taking something to a person or place,宅配
1427,deny,verb,to refuse to accept,否定する
1428,guest,noun,a person who is invited to visit or stay in someone's home ,ゲスト
1429,anybody,pronoun,any person : anyone ,だれか
1430,bedroom,noun, a room used for sleeping ,寝室
1431,quote,verb,"to repeat exactly, to copy out",引用する
1432,climb,verb,to move or go up (something) using your feet and often your hands ,登る
1433,basically,adverb,in the most important or fundamental ways,基本的に
1434,violence,noun,"the use of physical force to harm someone, to damage property, etc.",暴力
1435,minister,noun,an official who heads a government department or a major section of a department in some countries,大臣
1436,mainly,adverb,mostly or to a large degree,投票者、有権者
1437,mouth,noun,the opening through which food passes into the body ,口
1438,noise,noun,a loud or unpleasant sound ,騒音
1439,manner,noun,the way that something is done or happens ,方法
1440,gun,noun,a weapon that shoots bullets or shells,ピストル、鉄砲
1441,square,noun,a four-sided shape that is made up of four straight sides that are the same length,四角形
1442,occasion,noun,a special event or time,機会
1443,familiar,adjective," frequently seen, heard, or experienced ",親しい
1444,ignore,verb,to pay no attention to something or someone,無視する
1445,destroy,verb,to cause (something) to end or no longer exist,破壊する
1446,affair,noun,work or activities done for a purpose,業務
1447,civil,adjective,related to the people who live in a country,市民の
1448,locate,verb,to discover the place or position of something,（場所を）見つける
1449,citizen,noun,a person who legally belongs to a country and has the rights and protection of that country ,市民
1450,temperature,noun,a measurement that indicates how hot or cold something is,温度
1451,gold,noun,a soft yellow metal that is very valuable and that is used especially in jewelry,金
1452,domestic,adjective,"of, relating to, or made in your own family, country",家庭の、国内の
1453,load,noun,something that is lifted and carried ,積載貨物
1454,belief,noun,a feeling of being sure that someone or something exists or that something is true ,信念
1455,troop,noun,"a group of people, especially soldiers or theater actors",一団、軍隊
1456,technical,adjective,the practical use of machines or science in industry,技術の
1457,remind,verb,to make (someone) think about something again : to cause (someone) to remember something ,思い出させる
1458,arrangement,noun,an agreement between two people or groups; a plan,合意、取り決め
1459,skin,noun,the natural outer layer of tissue that covers the body of a person or animal ,肌
1460,prison,noun,a building where people are kept as punishment for a crime or while they are waiting to go to court,牢獄
1461,switch,verb,to change from one thing to another,切り替える
1462,acquire,verb,to get something ,得る
1463,corporate,adjective,involving or associated with large group,法人の
1464,fairly,adverb,"more than average, but less than very; something done in a fair way",かなり
1465,wood,noun, the hard substance that makes up the stems and branches of trees and shrubs ,木
1466,participate,verb,to take part with others in doing something,参加する
1467,tough,adjective,very difficult to do or deal with ,とても難しい
1468,tear,noun,a drop of liquid that comes from your eyes especially when you cry,涙
1469,representative,noun,typical of a particular group of people or of a particular thing ,代表
1470,capacity,noun,"ability to hold, involve or contain people or things",許容量
1471,border,noun,a line separating one country or state from another ,国境
1472,shake,verb," to move sometimes violently back and forth or up and down with short, quick movements ",振る
1473,assessment,noun,"to make a judgment about the quality, size, value, etc. of something",査定、評価
1474,shoe,noun,an outer covering for your foot that usually has a stiff bottom part called a sole with a thicker part called a heel attached to it and an upper part that covers part or all of the top of your foot ,くつ
1475,ought,verb,used to indicate what is expected,～すべき
1476,ad,adverb,an advertisement,広告
1477,fee,noun,an amount of money  paid for a particular action,謝礼金
1478,hall,noun,the area inside the entrance of a building ,ホール
1479,regulation,noun,an official rule that controls how something is done,規制
1480,escape,verb,to get away from a place (such as a prison) where you are being held or kept ,逃げる
1481,studio,noun,"a room where an artist or photographer works; a place where TV, radio, or movies are made or broadcast",スタジオ
1482,proper,adjective,correct according to social or moral rules ,適切な
1483,relax,verb,"to become or free from tense, tight, or stiff",くつろぐ
1484,tourist,noun,someone who visits a place for pleasure and does not live there,旅行者
1485,component,noun,one of the parts that consists something,構成要素、部品
1486,afford,verb,to be able to pay for (something) ,買うことができる
1487,lawyer,noun,a person whose job is to guide and assist people in matters relating to the law,弁護士
1488,suspect,verb, to think that (someone) is possibly guilty of a crime or of doing something wrong ,疑う
1489,cup,noun,a small round container that often has a handle and that is used for drinking liquids (such as tea and coffee) ,カップ
1490,description,noun,"a statement that tells you how something or someone looks, sounds, etc. : words that describe something or someone",描写
1491,confidence,noun,a feeling or belief that you can do something well or succeed at something,自信
1492,industrial,adjective,connected with industry; with a lot of factories,産業の
1493,complain,verb,"to say or write that you are unhappy, sick, uncomfortable, etc., or that you do not like something ",不平を言う
1494,perspective,noun,"a way of thinking, an attitude toward something",観点
1495,error,noun,"something that is not correct, a mistake",誤り、エラー
1496,arrest,noun,"to use the power of the law to take and keep (someone, such as a criminal) ",逮捕する
1497,assess,verb,to judge something,評価する
1498,register,noun,"an official list, book or system for keeping records",登録簿
1499,asset,noun,"a person, skill, or quality which is useful or helps you to succeed; something valuable which is owned",貴重な人材、資産
1500,signal,noun, an event or act which shows that something exists or that gives information about something,信号
1501,finger,noun,one of the five long parts of the hand that are used for holding things,指
1502,relevant,adjective,relating to a subject in an considerable way,関係のある
1503,explore,verb,to look at (something) in a careful way to learn more about it;  to study or analyze (something) ,探る
1504,leadership,noun,"a position as a leader of a group, organization, etc. ",指導権
1505,commitment,noun,a promise or firm decision to do something; something that you must do that takes your time,約束、義務
1506,wake,verb,to cause (a person or animal) to be awake after sleeping ,起こす
1507,necessarily,adverb,(esp. in negatives) in all cases; as an expected result,必ずしも
1508,bright,adjective,producing a lot of light ,輝く
1509,frame,noun,the basic structure and shape of the body of a person or animal ,骨組み、体格
1510,slowly,adverb,at a low speed,ゆっくりと
1511,bond,noun,something that is shared between people or groups,絆
1512,hire,verb,to give work or a job to (someone) in exchange for wages or a salary,雇う
1513,hole,noun, an opening into or through something,穴
1514,tie,verb,"to attach (someone or something) to something with a string, rope, etc. ",つなげる
1515,internal,adjective,existing or situated on the inside of something,内部の
1516,chain,noun,"a series of usually metal links or rings that are connected to each other in a line and used for supporting heavy things, for holding things together, for decoration, etc.",鎖
1517,literature,noun,"written works (such as poems, plays, and novels) that are considered to be very good and to have lasting importance",文学
1518,victim,noun,"someone who has suffered the effects of violence, illness, or bad luck",犠牲者
1519,threaten,verb,to say that you will harm someone or do something unpleasant or unwanted especially in order to make someone do what you want,脅かす
1520,division,noun,one of the parts into which a thing is divided,分割
1521,secure,verb,"protected from danger or harm, keep things safe",確保する
1522,amaze,verb,to make someone very surprised,驚かす
1523,device,noun,"an object, machine, or equipment for a specific use",装置
1524,birth,noun,the time when a baby comes out from the body of its mother,誕生
1525,forest,noun,a thick growth of trees and bushes that covers a large area,森
1526,label,noun,an attached piece of paper used to identify something,ラベル
1527,root,noun,"the part of a plant that grows underground, gets water from the ground, and holds the plant in place",根
1528,factory,noun,a building or group of buildings where products are made ,工場
1529,expense,noun,the amount of money that is needed to pay for or buy something ,費用
1530,channel,noun,"a station of TV, or radio",チャンネル
1531,investigate,verb,"to try to find out the facts, to carry out research",調査する
1532,recommendation,noun,a piece of advice about what to do in a particular situation; a suggestion about something that is good in a certain situation,推薦
1533,rank,noun,"a position in a society, organization, group, etc.",階級、地位
1534,typical,adjective,"having all the qualities you expect a particular person, object, place, etc. to have",典型的な
1535,west,noun,the direction where the sun sets; opposite of east,西
1536,friendly,adjective,acting like a friend : kind and helpful ,友好的
1537,resident,adjective,someone who lives in a particular place,居住者
1538,provision,noun,a rule that is part of a law or an agreement,規定
1539,concentrate,verb,to think about or give attention to something,集中する
1540,plenty,adjective,a large number or amount of something;  a number or amount of something that is enough for a particular purpose ,たくさんの
1541,export,verb,to send goods to be sold in another country,輸出する
1542,entirely,adverb,completely,完全に
1543,strongly,adverb,very much or in a very serious way,強く
1544,bridge,noun,a structure built over something (such as a river) so that people or vehicles can get across ,橋
1545,consist,verb,"to have as an essential, necessary or main part",成る
1546,graduate,noun,"someone who has studied for and received a degree (= qualification) from a school, college, or university",卒業する
1547,brand,noun,a product that is made by a particular company,商標
1548,moral,adjective,concerning or relating to what is right and wrong in human behavior,道義をわきまえた
1549,insist,verb,"to say firmly that something is true, especially when other people do not believe you; to demand that something be done",主張する
1550,combination,noun,a mixture of different people or things,組み合わせ
1551,abuse,noun,"violent, cruel treatment of someone",乱用する
1552,ice,noun,frozen water ,氷
1553,principal,adjective,"most important person, main importance",長
1554,master,noun,someone who has control or power over others,管理人
1555,definitely,adverb,without any doubt,間違いなく
1556,session,noun,a period during which you do one activity,期間
1557,grade,noun,a level of study that is completed by a student,成績
1558,nevertheless,adverb,"in spite of that, notwithstanding",それにもかかわらず
1559,predict,verb,say or estimate that will or might happen,予想する
1560,previously,adverb,before the present time or the time referred to,以前に
1561,protection,noun,"the state of being kept from harm, loss, etc.",保護
1562,largely,adverb,mainly,だいたいは
1563,wed,verb,to marry someone,結婚する
1564,rent,verb,to pay money in return for being able to use,賃借りする
1565,shot,noun,when a bullet is fired from a gun; a photograph; an attempt to score in sports by throwing or kicking a ball,打つ
1566,appearance,noun,the way that someone or something looks,外見
1567,reasonable,adjective,fair and sensible ,程よい
1568,guarantee,noun,a assurance that the quality of something is good,保障する
1569,till,preposition,until,まで
1570,theme,noun,the main subject to discuss or describe,テーマ
1571,judgment,noun,an opinion about someone or something that is decided after thinking carefully,判決
1572,odd,adjective,to be strange or different from what is usual or expected,変な
1573,approve,verb, to believe that something or someone is good or acceptable ,承認する
1574,loan,noun,an amount of money that is given to someone for a period of time with a promise that it will be paid back,ローン
1575,definition,noun,an explanation of the meaning of a word or phrase,定義
1576,elect,verb,"to select (someone) for a position, job, etc., by voting ",選ぶ
1577,atmosphere,noun,the feeling which exists in a place or situation,雰囲気
1578,farmer,noun,someone who owns or looks after a farm,農夫
1579,comparison,noun,the act of looking at things to see how they are similar or different ,比較
1580,characteristic,noun,a typical or obvious quality that makes one person or thing different from others,特徴
1581,license,noun,to give someone official permission to do or have something,免許
1582,rely,verb,"rely on;  to need for support, depend on",頼る
1583,narrow,adjective, long and not wide : small from one side to the other side ,狭い
1584,succeed,verb,to do what you are trying to do : to achieve the correct or desired result ,成功する
1585,identity,noun,who someone is; the things that make one person or group of people different from others,身元、独自性
1586,desk,noun,a piece of furniture that is like a table and often has drawers ◊People often sit at desks when they are writing or using a computer. ,机
1587,permit,verb,to allow something to happen or to give permission for,許可する
1588,seriously,adverb,in a serious way; not joking,深刻に
1589,wild,adjective,living in nature without human control or care : not tame,野生の
1590,empty,adjective,containing nothing,空の
1591,commission,noun,people who are given the job of doing something,任務
1592,unique,adjective,"something is unlike anything, being the only one",ユニークな、独特な
1593,association,noun,an organized group of people who have the same interest,協会、組合
1594,instrument,noun, a tool or device used for a particular purpose ,器具、楽器
1595,investor,noun,"someone who puts money in a bank, business, etc. in order to make a profit",投資家
1596,practical,adjective,relating to what is real rather than to what is possible or imagined ,実際の
1597,tea,noun,a drink that is made by soaking the dried leaves of an Asian plant in hot water ,茶
1598,lovely,adjective,attractive or beautiful especially in a graceful way ,美しい・素晴らしい
1599,soft,adjective,"easy to press, bend, cut, etc. : not hard or firm ",柔らかい
1600,row,noun,a straight line of people or things that are next to each other ,列
1601,youth,noun,the time of life when someone is young : the time when a young person has not yet become an adult ,青年時代、若いころ
1602,lock,noun,"a device that keeps something (such as a door, window, or box) from being opened and that is usually opened by using a key",錠前
1603,fuel,noun,a substance that is burned to provide heat or power,燃料
1604,expectation,noun,when you expect something to happen,期待
1605,employment,noun,when someone is paid to work for a person or company,雇用
1606,celebrate,verb,"to do something enjoyable because it is a special day, or because something good has happened",祝う
1607,sexual,adjective,relating to the activity of sex,性的な
1608,shoulder,noun,the part of your body where your arm is connected ,肩
1609,breath,noun,the air that you take into your lungs and send out from your lungs when you breathe,息
1610,increasingly,adverb,more and more,ますます
1611,import,verb,to bring something into your country from another country for people to buy,輸入する
1612,bottle,noun,a glass or plastic container that has a narrow neck and usually has no handle Bottles are usually used to store liquid or tablets.,ボトル
1613,ourselves,pronoun,the reflexive form of the pronoun 'we',私たち自身
1614,sheet,noun, a large piece of cloth that is used to cover something ,シーツ
1615,engine,noun,a machine that changes energy (such as heat from burning fuel) into mechanical motion ,エンジン
1616,cast,verb,to choose an actor for a particular part in a film or play,配役する
1617,notion,noun,an idea or opinion about doing something,考え
1618,conservative,adjective,not trusting sudden changes or new ideas,保守的な
1619,journey,noun,an act of traveling from one place to another : trip ,旅
1620,opposition,noun,actions or opinions that show that you disagree with or disapprove of someone or something ,反対
1621,relief,noun,a pleasant and relaxed feeling that someone has when something unpleasant stops or does not happen,安堵
1622,debt,noun,"an amount of money that you owe to a person, bank, company, etc.",借金
1623,honor,noun,respect that is given to someone who is admired,名誉
1624,outcome,noun,"something that happens as a result, consequence",結果
1625,blame,verb,to say or think that a person or thing is responsible for something bad that has happened ,責める
1626,explanation,noun,the details or reasons that someone gives to make something clear or easy to understand,説明
1627,arise,verb,to begin to occur or to exist,発生する
1628,musical,adjective,relating to music; skilled at music,音楽の、音楽の才能がある
1629,recover,verb,"to revive, become healthy after an illness or injury",回復する
1630,dad,noun,father,パパ
1631,stretch,verb,to make (something) wider or longer by pulling it ,伸ばす
1632,declare,verb,to say or state (something) in an official or public way ,宣言する
1633,retire,verb,to stop a job or career because you have reached the age when you are not allowed to work anymore or do not need or want to work anymore,退職する、引退する
1634,tiny,adjective,extremely small,とても小さい
1635,careful,adjective,"giving a lot of attention to what you are doing so that you do not have an accident, make a mistake, or damage something",気を付ける
1636,suitable,adjective,acceptable or right for someone or something,ふさわしい
1637,native,adjective, born in a particular place ,母国
1638,fruit,noun,"a usually sweet food (such as a blueberry, orange, or apple) that grows on a tree or bush ",くだもの
1639,analyze,verb,"to examine the details of something carefully, in order to understand or explain it",分析する
1640,witness,noun,a person who sees something (such as a crime) happen ,証人
1641,mail,noun,the system used for sending letters and packages from one person to another ,郵便
1642,terrible,adjective,very shocking and upsetting ,ひどい
1643,researcher,noun, a person who studies a subject in detail in order to discover new information about it,研究者
1644,ordinary,adjective,"normal or usual : not unusual, different, or special ",通常の
1645,selection,noun,when someone or something is chosen; a thing or person who is chosen,選択
1646,anywhere,adverb,"in, at, or to any place ",どこでも、どこにも
1647,mental,adjective,of or relating to the mind,精神
1648,participant,noun,someone who is involved in an activity,参加者
1649,vision,noun,"the ability to see, sight, eyesight",視覚
1650,personality,noun, the way you are as a person,人柄
1651,specifically,adverb,"for a particular reason, purpose, etc.",具体的に
1652,fat,adjective,having a lot of extra flesh on your body : having a lot of body fat ,太い
1653,entry,noun,when you come into or go into a place,入場
1654,fellow,noun,"used to describe people who belong to the same group or class or who share a situation, experience, etc.",仲間
1655,chemical,adjective,something relating to chemistry,化学的な
1656,capture,verb,to catch someone and make them your prisoner; to get control of a place with force,捕らえる
1657,tip,noun,the end of something that is usually long and thin,先端
1658,discount,noun,a reduction in price,値引き
1659,peak,noun,the highest level or value of something; the top of a mountain,頂点
1660,chairman,noun,"he person (especially a man) who is in charge of a meeting, committee, or event ",議長
1661,proportion,noun,an amount that is a part of a whole thing,割合
1662,ear,noun,the part of the body that you hear with ,耳
1663,disappear,verb,to stop being visible : to pass out of sight ,消える
1664,shout,verb,to say (something) very loudly,叫ぶ
1665,yard,noun,an outdoor area that is next to a house and is usually covered by grass,庭
1666,constant,adjective,things happening always or at a regular rate,一定の
1667,significantly,adverb,in a way that is easy to see or by a large amount,著しく、かなり
1668,hill,noun,a usually rounded area of land that is higher than the land around it but that is not as high as a mountain ,丘
1669,considerable,adjective,"something large in size, amount, or quantity",かなりの
1670,instruction,noun,something that you have been told to do,指示
1671,intelligence,noun,the ability to learn things or to consider situations,知能
1672,ideal,adjective,"exactly right for a particular purpose, situation, or person",理想
1673,folk,noun,people,人々
1674,surely,adverb,used to express surprise that something has happened or is going to happen,まさか
1675,guard,noun," a state in which someone is carefully looking for possible danger, threats, problems, etc. ",護衛する
1676,cat,noun,a small animal that is related to lions and tigers and that is often kept by people as a pet ,猫
1677,somewhat,adverb,in a small amount or degree;  to some degree,いくらか、やや
1678,kiss,verb,to touch (someone) with your lips as a greeting or as a way of showing love or sexual attraction,キス
1679,presentation,noun,a talk giving information about something,プレゼンテーション
1680,joint,noun,a point where two bones meet in the body ,関節
1681,compete,verb,to try to get or win something (such as a prize or reward) that someone else is also trying to win,競争する
1682,poll,noun,when people are asked questions to discover what they think about a subject; a survey,世論調査
1683,weak,adjective,having little physical power or ability : not strong ,弱い
1684,faith,noun,strong belief or trust in someone or something ,信仰、信条
1685,reduction,noun," the act of making something smaller in size, amount, number, etc. : the act of reducing something",縮小
1686,reserve,verb,"to make arrangements so that you will be able to use or have (something, such as a room, table, or seat) at a later time",予約する
1687,complaint,noun,a statement that you are unhappy or not satisfied with something ,不平
1688,bore,verb,to make someone feel bored,退屈させる
1689,mission,noun,"an important job, usually traveling somewhere",任務
1690,somehow,adverb, in a way that is not known or certain ,なんとなく
1691,tone,noun,"the quality of a sound, especially of someone's voice",音質
1692,neighborhood,noun,the people who live near each other or a section of a town or city,隣人
1693,passenger,noun," a person who is traveling from one place to another in a car, bus, train, ship, airplane, etc., and who is not driving or working on it ",乗客
1694,justice,noun,the process or result of using laws to fairly judge and punish crimes and criminals ,裁判、裁き
1695,phase,noun,a distinct part or step in a process,段階
1696,thin,adjective,having a small distance between the top and bottom or front and back surfaces,薄い
1697,rush,verb, to move or do something very quickly or in a way that shows you are in a hurry ,急ぐ
1698,formal,adjective, requiring or using serious and proper clothes and manners ,形式的な
1699,religion,noun,the belief in a god,宗教
1700,employer,noun,a person or company that pays people to work for them,雇用者
1701,reject,verb,"to refuse, deny to believe, accept, or consider",断る
1702,latter,determiner,"coming or happening near the end of a process, activity, series, life, etc.",後ろのほうの
1703,plate,noun,a flat and usually round dish that is used for eating or serving food ,皿
1704,ban,verb,to officially say that someone must not do something,禁止する
1705,steal,verb,"to secretly take something that does not belong to you, without intending to return it",盗む
1706,protest,noun,"when people show that they disagree with something by standing somewhere, shouting, carrying signs, etc.",抗議
1707,index,noun,a written or printed order list,索引
1708,sad,adjective,not happy : feeling or showing grief or unhappiness ,悲しい
1709,frequently,adverb,often,頻繁に
1710,circle,noun,a perfectly round shape : a line that is curved so that its ends meet and every point on the line is the same distance from the center ,丸い
1711,helpful,adjective,useful; willing to help,役立つ
1712,command,verb,to give (someone) an order,命令する
1713,attractive,adjective,having a pleasing appearance ,魅力的な
1714,sick,adjective,affected with a disease or illness,病気
1715,impression,noun,"an idea, feeling, or opinion about something or someone",印象
1716,unable,adjective,to not be able to do something,できない
1717,joke,noun,something said or done to cause laughter,冗談
1718,sky,noun,"the space over the Earth where the sun, moon, stars, and clouds appear",空
1719,column,noun,"one of the vertical blocks of print into which a page of a newspaper, magazine, dictionary or spreadsheet, is divided",欄
1720,electronic,adjective,"Electronic equipment consists of things such as computers, televisions, and radios",電子の
1721,impose,verb,to make someone to do or endure something,課す
1722,criminal,adjective,involving illegal activity : relating to crime ,犯罪者、犯罪の
1723,besides,adverb,other than or in addition to,～以外に、加えて、
1724,properly,adverb,"correctly, or in a satisfactory way",適切に
1725,ancient,adjective,very old : having lived or existed for a very long time,古代な
1726,coast,noun,the land along or near a sea or ocean,海岸
1727,ill,adjective,not well or healthy : sick or unhealthy ,病気
1728,kick,verb, to hit (someone or something) with your foot,蹴る
1729,closely,adverb,"If you look at or listen to something closely, you look at it or listen to it very carefully.",じっくりと、注意深く
1730,multiple,adjective,with several parts,複合的な
1731,yield,verb,"to produce or provide (something, such as a plant or crop)",産出する
1732,via,preposition,"by going through, by way of",経由で
1733,legislation,noun,a law or a set of laws,法律
1734,county,noun,"an area of Britain, Ireland, or the US that has its own local government",州
1735,unlike,preposition,different from someone or something,～とは違って
1736,mobile,adjective,able to move or be moved easily,可動の
1737,assistant,noun,someone whose job is to help a person who has a more important job,助手、補佐
1738,implement,verb,to put something in place,実施する
1739,chart,noun,a table or diagram that shows information,チャート
1740,attach,verb,to be associated or connected with,付随する
1741,hell,noun,"according to some religions, the place where bad people go when they die; a very unpleasant experience",地獄
1742,everywhere,adverb, in or to every place ,どこでも
1743,advise,verb,to give an opinion or suggestion to someone about what should be done,アドバイスする
1744,household,noun,a family or group of people who live together in a house,世帯
1745,acknowledge,verb,to consider or regard something,認める
1746,reward,noun,money or another kind of payment that is given or received for something that has been done or that is offered for something that might be done,報酬
1747,east,noun,the direction where the sun rises,東
1748,hat,noun,a covering for the head that often has a brim and a rounded or flat top ,帽子
1749,academic,adjective,"related to education, schools, universities, etc.",学問的な
1750,voter,noun,someone who votes or who is officially allowed to vote,有権者
1751,meanwhile,adverb,at or during the same time : in the meantime ,その間に
1752,furthermore,adverb,in addition to what has been said,さらに
1753,accuse,verb,to blame (someone) for something wrong or illegal : to say that someone is guilty of a fault or crime,責める
1754,scientific,adjective,of or relating to science ,科学の
1755,wage,noun,"an amount of money that a worker is paid based on the number of hours, days, etc., that are worked ",賃金
1756,absence,noun,"a state or condition in which something expected, wanted, or looked for is not present or does not exist",欠如
1757,construct,verb,to build or create something,建築する
1758,remark,noun,the act of noticing or making a comment about something,発言
1759,medicine,noun,a substance that is used in treating disease or relieving pain and that is usually in the form of a pill or a liquid,薬
1760,professor,noun,a teacher of high rank in a university or college,教授
1761,rare,adjective,"not common or usual, not often",珍しい、まれな
1762,intention,noun, the thing that you plan to do or achieve : an aim or purpose ,意図
1763,dozen,noun,a group of 12 people or things ,ダース
1764,settlement,noun,an official agreement that finishes an argument,和解
1765,gap,noun,a space between two people or things ,差
1766,widely,adverb,"including a lot of different places, people, subjects, etc.",広く
1767,minimum,adjective,the lowest number or amount that is possible,最小限
1768,northern,adjective, located in or toward the north ,北の
1769,estate,noun,land that a person owns,私有地
1770,equally,adverb,to the same degree or level; into amounts or parts that are the same size,等しく
1771,expose,verb,"to make visible, without any covering or protection",さらす
1772,alive,adjective,having life : living : not dead ,生きている
1773,shut,verb,to close (something) ,閉める
1774,victory,noun,success in defeating an opponent or enemy,勝利
1775,resolve,verb,to find an answer to solve problems,解決する
1776,critic,noun,a person who gives opinions about something,批評家
1777,variable,adjective,changing often,変わりやすい
1778,enormous,adjective,very large in size or amount,巨大な
1779,sweet,adjective, containing a lot of sugar ,甘い
1780,permanent,adjective,lasting or continuing for a very long time or forever : not temporary or changing ,永久的な
1781,emotion,noun,"a feeling such as love or anger, or strong feelings in general",感情
1782,pursue,verb,to follow and try to catch or to reach a goal,追求する
1783,tall,adjective,"greater in height than the average person, building, etc.",高い
1784,urge,verb,to try to persuade (someone) in a serious way to do something ,駆り立てる
1785,enemy,noun, someone who hates another : someone who attacks or tries to harm another,敵
1786,appoint,verb,to choose (someone) to have a particular job : to give (someone) a position or duty ,任命する
1787,milk,noun,a white liquid produced by a woman to feed her baby or by female animals to feed their young ,"牛乳,ミルク"
1788,talent,noun,a natural ability to do something,才能
1789,smell,noun,the quality of a thing that you can sense with your nose,におい
1790,prior,adjective,existing or coming earlier in time,前の
1791,priority,noun,the fact that is more important than other things,優先
1792,online,adjective,"connected to a system of computers, especially the Internet",オンライン
1793,phrase,noun,a group of words which are often used together and have a particular meaning,フレーズ
1794,pilot,noun,someone who flies an aircraft,パイロット
1795,stable,adjective,in a good situation or condition not likely changed,安定した
1796,merely,adverb,"used to emphasize that something is not large, important, or effective when compared to something else",～にすぎない
1797,resolution,noun,an official decision that is made after a group or organization have voted,決議
1798,communicate,verb,to give and exchange information by speaking or writing,やりとりする
1799,injury,noun,damage to someone's body in an accident or attack,けが
1800,vast,adjective,extremely big,広大
1801,exhibition,noun,when objects such as paintings are shown to the public,展示会
1802,producer,noun,"a company, country, or person that makes goods or grows food; someone who controls how a film, play, program, or musical recording is made",生産者
1803,regional,adjective,relating to a region (= particular area),地域の
1804,immediate,adjective,happening or done without delay or existing now,即時の
1805,incident,noun,"an event, especially one that is bad or unusual",事件
1806,childhood,noun,the period of time when a person is a child,子どもの頃
1807,draft,noun,a former version of something to make final,原稿、原案、下絵
1808,slip,verb,to slide out of the proper position ,滑り落ちる
1809,accompany,verb,to visit somewhere with someone,同行する
1810,politician,noun, someone who is active in government usually as an elected official,政治家
1811,angry,adjective, filled with anger : having a strong feeling of being upset or annoyed ,怒る
1812,knock,verb,to hit something (such as a door) with the knuckles of your hand or with a hard object (such as a knocker) in order to get people's attention,ノックする
1813,seed,noun,a small object produced by a plant from which a new plant can grow ,種
1814,salary,noun,an amount of money that an employee is paid each year,給料
1815,illustrate,verb,explain with examples to make easier to understand,解説する
1816,imply,verb,to express in an indirect way,暗示する
1817,breakfast,noun,the first meal of the day,朝食
1818,temporary,adjective,"continuing for a limited time, not permanent",一時的な
1819,liberal,adjective,believing government should actively support social needs,自由主義の、リベラルな
1820,lake,noun,a large area of water that is surrounded by land ,湖
1821,qualify,verb,to give (someone) the necessary skill or knowledge to do a particular job or activity ,資格を与える
1822,competitive,adjective,wanting to win or to be more successful than other people,競争心の強い
1823,truly,adverb,used to emphasize a description of something,本当に
1824,hi,interjection,hello,こんちゃ
1825,yellow,adjective,having the color of the sun or of ripe lemons ,黄色
1826,habit,noun,a usual way of behaving : something that a person does often in a regular and repeated ,癖、習慣
1827,disk,noun,"a flat, round shape or object; a CD or DVD",ディスク
1828,core,noun,the central part of something that is important,核
1829,emotional,adjective,"showing strong feelings, or making people have strong feelings",感情的な
